author_viaf;title;id;file_name;pub_year
46894596;Rookwood: a romance;10000;Ainsworth_William-Harrison_Rookwood_1834;1834
57465184;"The Life of John Buncle, Esq; Containing Various Observations and Reflections, Made In Several Parts Of the World; and Many Extraordinary Relations.";10001;Amory_Thomas_The-Life-of-John-Buncle_1756;1756
1000003;The History of Little Goody Two-Shoes;10002;Anonymous_Anonymous_Little-Goody-Two-Shoes_1765;1765
1000004;The Adventures of Anthony Varnish;10003;Anonymous_Anonymous_The-Adventures-of-Anthony-Varnish_1786;1786
1000002;The Triumph of Prudence Over Passion;10004;Anonymous_Anonymous_The-Triumph-Prudence-Over-Passion_1781;1781
1000001;"Vertue rewarded; or The Irish Princess";10005;Anonymous_Anonymous_Vertue-Rewarded_1693;1693
69152778;The Life of Charlotta Du Pont, an English Lady;10006;Aubin_Penelope_The-Life-of-Charlotte-Du-Pont_1723;1723
102333412;Emma;10007;Austen_Jane_Emma_1815;1815
102333412;Love and Freindship;10008;Austen_Jane_Love-and-Freindship_1790;1790
102333412;Mansfield Park;10009;Austen_Jane_Mansfield-Park_1814;1814
102333412;Northanger Abbey;10010;Austen_Jane_Northanger-Abbey_1818;1818
102333412;Persuasion;10011;Austen_Jane_Persuasion_1817;1817
102333412;Pride and Prejudice;10012;Austen_Jane_Pride-and-Prejudice_1813;1813
102333412;Sense and Sensibility;10013;Austen_Jane_Sense-and-Sensibility_1811;1811
33194966;How he left the Hotel;10014;Baldwin_Louisa_How-he-left-the-Hotel_1894;1894
33194966;Many Waters Cannot Quench Love;10015;Baldwin_Louisa_Many-Waters-Cannot-Quench-Love_1894;1895
33194966;My Next Door Neighbour;10016;Baldwin_Louisa_My-Next-Door-Neighour_1894;1896
33194966;Sir Nigel Otterburnes Case;10017;Baldwin_Louisa_Sir-Nigel-Otterburnes-Case_1894;1897
33194966;The Empty Picture Frame;10018;Baldwin_Louisa_The-Empty-Picture-Frame_1894;1898
33194966;The Real and the Counterfeit;10019;Baldwin_Louisa_The-Real-and-the-Counterfeit_1894;1899
33194966;The Shadow on the Blind;10020;Baldwin_Louisa_The-Shadow-on-the-Blind_1894;1900
33194966;The Ticking of the Clock;10021;Baldwin_Louisa_The-Ticking-of-the-Clock_1894;1901
33194966;The Uncanny Bairn;10022;Baldwin_Louisa_The-Uncanny-Bairn_1894;1902
33194966;The Weird of the Walfords;10023;Baldwin_Louisa_The-Weird-of-the-Walfords_1894;1903
64050447;The Coral Island: A Tale of the Pacific Ocean;10024;Ballantyne_Robert_The-Coral-Island_1858;1858
51915688;A Patchwork Screen for the Ladies;10025;Barker_Jane_A-Patch-Work-Screen-for-the-Ladies_1723;1723
51915688;"Exilus; or, The Banish'd Roman";10026;Barker_Jane_Exilus_1715;1715
51915688;Love Intrigues: Or, the History of the Amours of Bosvil and Galesia;10027;Barker_Jane_Love-Intrigues_1712;1712
51915688;The Lining of the Patchwork Screen;10028;Barker_Jane_The-Lining-of-the-Patch-Work-Screen_1726;1726
64001320;Auld Licht Idylls;10029;Barrie_J-M_Auld-Licht-Idylls_1888;1888
64001320;A Window in Thrums;10030;Barrie_J-M_A-Window-in-the-Thrums_1889;1889
64001320;"Peter Pan; or, the Boy Who Wouldn't Grow Up";10031;Barrie_J-M_Peter-and-Wendy_1911;1911
64001320;Sentimental Tommy: The Story of his Boyhood;10032;Barrie_J-M_Sentimental-Tommy_1896;1896
64001320;Tommy and Grizel;10033;Barrie_J-M_Tommy-and-Grizel_1900;1900
4926466;Vathek;10034;Beckford_William_Vathek_1786;1786
41851464;Zuleika Dobson, an Oxford love story;10035;Beerbohm_Max_Zuleika-Dobson_1911;1911
19715508;Oroonoko, or The Royal Slave;10036;Behn_Aphra_Oroonoko_1688;1688
47650412;Agnes De-Courci: A Domestic Tale;10037;Bennett_Anna-Maria_Agnes-De-Courci_1789;1789
49240682;Anna and the Five Towns;10038;Bennett_Arnold_Anna-and-the-Five-Towns_1902;1902
49240682;Clayhanger;10039;Bennett_Arnold_Clayhanger_1910;1910
49240682;Hilda Lessways;10040;Bennett_Arnold_Hilda-Lessways_1911;1911
49240682;The Old Wives' Tale;10041;Bennett_Arnold_The-Old-Wives-Tale_1908;1908
66756120;The Red Hand of Ulster;10042;Birmingham_George_The-Red-Hand-of-Ulster_1912;1912
59105182;Clara Vaughan;10043;Blackmore_R-D_Clara-Vaughan_1864;1864
59105182;Lorna Doone, A Romance of Exmoor;10044;Blackmore_R-D_Lorna-Doone_1869;1869
66826682;Aurora Floyd;10045;Braddon_Mary_Aurora-Floyd_1863;1863
66826682;Lady Audley's Secret;10046;Braddon_Mary_Lady-Audleys-Secret_1862;1862
66826682;The Doctor's Wife;10047;Braddon_Mary_The-Doctors-Wife_1863;1863
14766877;Agnes Grey, A Novel;10048;Bronte_Anne_Agnes-Grey_1847;1847
14766877;The Tenant of Wildfell Hall;10049;Bronte_Anne_The-Tenant-of-Wildfell-Hall_1848;1848
71388025;Jane Eyre: An Autobiography;10050;Bronte_Charlotte_Jane-Eyre_1847;1847
71388025;Shirley, A Tale;10051;Bronte_Charlotte_Shirley_1849;1849
71388025;Villette;10052;Bronte_Charlotte_Vilette_1853;1853
97097302;Wuthering Heights;10053;Bronte_Emily_Wuthering-Heights_1847;1847
5193747;The History of Emily Montague;10054;Brooke_Frances_Emily_Montague_1769;1769
5193747;The History of Lady Julia Mandeville;10055;Brooke_Frances_Lady-Julia-Mandeville_1763;1763
45106836;Cometh Up as a Flower;10056;Broughton_Rhoda_Cometh-Up-as-a-Flower_1867;1867
7534248;The House with the Green Shutters;10057;Brown_George-Douglas_The-House-with-the-Green-Shutters_1901;1901
34532515;Discipline;10058;Brunton_Mary_Discipline_1814;1814
34532515;Self-Control;10059;Brunton_Mary_Self-Control_1811;1811
66464527;John Burnet of Barns: A Romance;10060;Buchan_John_John-Burnet-of-Barns_1897;1897
99871326;Eugene Aram;10061;Bulwer-Lytton_Edward_Eugene-Aram_1832;1832
99871326;Paul Clifford;10062;Bulwer-Lytton_Edward_Paul-Clifford_1830;1830
99871326;The Last Days of Pompeii;10063;Bulwer-Lytton_Edward_The-Last-Days-of-Pompeii_1834;1834
27061925;The Secret Garden;10064;Burnett_Frances-Hodgson_The-Secret-Garden_1911;1911
95297439;Camilla, A Picture of Youth;10065;Burney_Frances_Camilla_1796;1796
95297439;Cecilia, Memoirs of an Heiress;10066;Burney_Frances_Cecilia_1782;1782
95297439;Evelina, or the History of a Young Lady's Entrance into the World;10067;Burney_Frances_Evelina_1778;1778
95297439;"The Wanderer; or, Female Difficulties";10068;Burney_Frances_The-Wanderer_1814;1814
49578292;Erewhon: or, Over the Range;10069;Butler_Samuel_Erewhon_1872;1872
49578292;The Way of All Flesh;10070;Butler_Samuel_The-Way-of-all-Flesh_1903;1903
24650758;The Daughters of Danaus;10071;Caird_Mona_The-Daughters-of-Danaus_1894;1894
44383913;Fardorougha the Miser;10072;Carleton_William_Fardorougha-the-Miser_1839;1839
44383913;Going to Maynooth;10073;Carleton_William_Going-to-Maynooth_1830;1830
44383913;LARRY M'FARLAND'S WAKE.;10074;Carleton_William_Larry-M-Farlands-Wake_1830;1830
44383913;NED M'KEOWN.;10075;Carleton_William_Ned-M-Keown_1830;1830
44383913;Phil Purcel, The Pig-Driver;10076;Carleton_William_Phil-Purcel_1830;1830
44383913;SHANE FADH'S WEDDING.;10077;Carleton_William_Shane-Fadhs-Wedding_1830;1830
44383913;THE BATTLE OF THE FACTIONS.;10078;Carleton_William_The-Battle-of-the-Factions_1830;1830
44383913;The Black Prophet: A Tale of Irish Famine;10079;Carleton_William_The-Black-Prophet_1847;1847
44383913;"The Donagh; or, The Horse Stealers";10080;Carleton_William_The-Donagh_1830;1830
44383913;The Emigrants of Ahadarra;10081;Carleton_William_The-Emigrants-of-Ahadarra_1847;1847
44383913;The Geography of an Irish Oath;10082;Carleton_William_The-Geography-of-an-Irish-Oath_1830;1830
44383913;The Hedge School;10083;Carleton_William_The-Hedge-School_1830;1830
