author_viaf;id;title;file_name;Binz_1790;Binz_1812;Armbruster_1813;Bachmann_1851;Gerold_1859;Last_1901;sum_libraries;binary;pub_year
9856912;20527;Der Goldne Spiegel;Wieland_Christoph-Martin_Der-Goldne-Spiegel_1772;1;1;1;1;1;1;6;1;1772
9856912;20528;Die Abentheuer des Don Sylvio von Rosalva;Wieland_Christoph-Martin_Die-Abentheuer-des-Don-Sylvio-von-Rosalva_1764;1;1;1;1;1;1;6;1;1764
24602065;20132;Wilhelm Meisters Lehrjahre;Goethe_Johann-Wolfgang_Wilhelm-Meisters-Lehrjahre_1794;0;1;1;1;1;1;5;1;1794
24602065;20135;Die Wahlverwandtschaften;Goethe_Johann-Wolfgang_Die-Wahlverwandtschaften_1809;0;1;1;1;1;1;5;1;1809
9856912;20524;Geschichte der Abderiten;Wieland_Christoph-Martin_Abderiten_1774;1;1;0;1;1;1;5;1;1774
9856912;20529;Agathon;Wieland_Christoph-Martin_Agathon_1766;1;1;1;1;0;1;5;1;1766
9870867;20125;Leben der schwedischen Gräfin von G;Gellert_Christian-Fuerchtegott_Leben-der-schwedischen-Graefin-von-G_1747;1;1;1;0;1;0;4;1;1747
19765806;20128;Idyllen von dem Verfasser des Daphnis;Gessner_Salomon_Idyllen-von-dem-Verfasser-des-Daphnis_1756;1;1;1;0;1;0;4;1;1756
19765806;20130;Der Tod Abels;Gessner_Salomon_Der-Tod-Abels_1762;1;1;1;0;1;0;4;1;1762
24602065;20131;Unterhaltungen deutscher Ausgewanderten;Goethe_Johann-Wolfgang_Unterhaltungen-deutscher-Ausgewanderten_1795;0;1;1;1;1;0;4;1;1795
24602065;20134;Die Leiden des jungen Werther;Goethe_Johann-Wolfgang_Leiden-des-jungen-Werther_1774;1;1;1;0;0;1;4;1;1774
88721755;20336;Grandison der Zweyte;Musaeus_Johann-Karl-August_Grandison-der-Zweyte_1760;1;1;1;0;1;0;4;1;1760
96994450;20426;Der Geisterseher;Schiller_Friedrich_Der-Geisterseher_1787;0;1;1;1;1;0;4;1;1787
9856912;20526;Aristipp und einige seiner Zeitgenossen;Wieland_Christoph-Martin_Aristipp-und-einige-seiner-Zeitgenossen_1800;0;1;0;1;1;1;4;1;1800
12350137;20025;Die Sträflinge;Auerbach_Berthold_Die-Straeflinge_1843;0;0;0;1;1;1;3;1;1843
12350137;20027;Die Frau Professorin;Auerbach_Berthold_Die-Frau-Professorin_1846;0;0;0;1;1;1;3;1;1846
12350137;20029;Der Tolpatsch;Auerbach_Berthold_Der-Tolpatsch_1843;0;0;0;1;1;1;3;1;1843
41840639;20126;Regulatoren in Arkansas;Gerstaecker_Friedrich_Regulatoren-in-Arkansas_1846;0;0;0;1;1;1;3;1;1846
19765806;20129;Daphnis;Gessner_Salomon_Daphnis_1854;0;1;1;0;1;0;3;1;1854
24602065;20133;Wilhelm Meisters Wanderjahre;Goethe_Johann-Wolfgang_Wilhelm-Meisters-Wanderjahre_1821;0;0;0;1;1;1;3;1;1821
54189710;20154;Die Ritter vom Geiste;Gutzkow_Karl_Die-Ritter-vom-Geiste_1850;0;0;0;1;1;1;3;1;1850
9931960;20163;Lichtenstein;Hauff_Wilhelm_Lichtenstein_1826;0;0;0;1;1;1;3;1;1826
29535422;20198;Die Elixiere des Teufels;Hoffmann_ETA_Die-Elixiere-des-Teufels_1815;0;0;0;1;1;1;3;1;1815
29535422;20201;Meister Floh;Hoffmann_ETA_Meister-Floh_1822;0;0;0;1;1;1;3;1;1822
29535422;20203;Klein Zaches genannt Zinnober;Hoffmann_ETA_Klein-Zaches-genannt-Zinnober_1819;0;0;0;1;1;1;3;1;1819
29535422;20204;Kreisleriana;Hoffmann_ETA_Kreisleriana_1814;0;0;0;1;1;1;3;1;1814
29535422;20205;Die Abenteuer der Sylvesternacht;Hoffmann_ETA_Die-Abenteuer-der-Sylvesternacht_1814;0;0;0;1;1;1;3;1;1814
29535422;20207;Der Goldene Topf;Hoffmann_ETA_Der-goldene-Topf_1814;0;0;0;1;1;1;3;1;1814
29535422;20208;Ritter Gluck. Eine Erinnerung aus dem Jahre 1809;Hoffmann_ETA_Ritter-Gluck_1814;0;0;0;1;1;1;3;1;1814
27630;20221;Münchhausen;Immermann_Karl_Muenchhausen_1838;0;0;0;1;1;1;3;1;1838
9938248;20433;Wunderliche Fata einiger See-Fahrer;Schnabel_Johann-Gottfried_Wunderliche-Fata_1731;1;1;0;1;0;0;3;1;1731
22149114;20451;Abdias;Stifter_Adalbert_Abdias_1842;0;0;0;1;1;1;3;1;1842
22149114;20459;Brigitta;Stifter_Adalbert_Brigitta_1847;0;0;0;1;1;1;3;1;1847
22149114;20461;Das Haidedorf;Stifter_Adalbert_Das-Haidedorf_1844;0;0;0;1;1;1;3;1;1844
22149114;20462;Der Hochwald;Stifter_Adalbert_Der-Hochwald_1841;0;0;0;1;1;1;3;1;1841
34463780;20490;Abdallah;Tieck_Ludwig_Abdallah_1792;0;0;1;1;1;0;3;1;1792
9856912;20525;Agathodämon;Wieland_Christoph-Martin_Agathodaemon_1799;0;1;0;1;0;1;3;1;1799
9856912;20530;Geheime Geschichte des Philosophen Peregrinus Proteus;Wieland_Christoph-Martin_Geheime-Geschichte-des-Philosophen-Peregrinus-Proteus_1788;0;1;0;1;0;1;3;1;1788
9856912;20531;Geschichte des weisen Danischmed;Wieland_Christoph-Martin_Geschichte-des-weisen-Danischmed_1795;0;1;0;1;1;0;3;1;1795
40171930;20000;Der falsche Woldemar;Alexis_Willibald_Der-falsche-Woldemar_1842;0;0;0;1;1;0;2;1;1842
40171930;20002;Der Roland von Berlin;Alexis_Willibald_Der-Roland-von-Berlin_1840;0;0;0;1;1;0;2;1;1840
40171930;20003;Cabanis;Alexis_Willibald_Cabanis_1830;0;0;0;1;1;0;2;1;1830
40171930;20007;Die Hosen des Herrn von Bredow;Alexis_Willibald_Die-Hosen-des-Herrn-von-Bredow_1846;0;0;0;1;0;1;2;1;1846
12350137;20026;Barfüßele;Auerbach_Berthold_Barfuessele_1843;0;0;0;1;1;0;2;1;1843
12350137;20028;Die Geschichte von Diethlem von Buchenberg;Auerbach_Berthold_Diethlem-von-Buchenberg_1852;0;0;0;0;1;1;2;1;1852
95166743;20037;Lebensgeschichte und natürliche Abentheuer des armen Mannes in Tockenburg;Braeker_Ulrich_Lebensgeschichte_1789;1;1;0;0;0;0;2;1;1789
97353015;20052;Robinson Crusoe der Jüngere;Campe_Joachim_Robinson-Crusoe_1779;1;0;0;0;1;0;2;1;1779
4927907;20053;Peter Schlemihls wundersame Geschichte;Chamisso_Adalbert_Peter-Schlemihl_1814;0;0;0;0;1;1;2;1;1814
29547947;20122;Soll und Haben;Freytag_Gustav_Soll-und-Haben_1855;0;0;0;0;1;1;2;1;1855
41840639;20127;Die Flußpiraten vom Mississipi;Gerstaecker_Friedrich_Die-Flusspiraten-vom-Mississipi_1838;0;0;0;0;1;1;2;1;1848
49303093;20144;Uli der Pächter;Gotthelf_Jeremias_Uli-der-Paechter_1849;0;0;0;1;1;0;2;1;1849
49303093;20145;Die Käserei in der Vehfreude;Gotthelf_Jeremias_Die-Kaeserei-in-der-Vehfreude_1850;0;0;0;1;1;0;2;1;1850
49303093;20146;Uli der Knecht;Gotthelf_Jeremias_Uli-der-Knecht_1841;0;0;0;1;1;0;2;1;1841
54189710;20153;Briefe einers Narren und einer Närrin;Gutzkow_Karl_Briefe-einers-Narren-und-einer-Naerrin_1832;0;0;0;1;1;0;2;1;1832
54189710;20156;Seraphine;Gutzkow_Karl_Seraphine_1837;0;0;0;1;1;0;2;1;1837
67257021;20159;Gräfin Faustine;Hahn-Hahn_Ida_Graefin-Faustine_1848;0;0;0;1;1;0;2;1;1848
9931960;20165;Das Wirtshaus im Spessart;Hauff_Wilhelm_Das-Wirtshaus-im-Spessart_1828;0;0;0;1;0;1;2;1;1828
56650240;20178;Ardinghello;Heinse_Wilhelm_Ardinghello_1787;0;0;0;0;1;1;2;1;1787
29535422;20189;Das Sanctus;Hoffmann_ETA_Das-Sanctus_1816;0;0;0;1;1;0;2;1;1816
29535422;20190;Die Serapions-Brüder;Hoffmann_ETA_Die-Serapions-Brueder_1819;0;0;0;1;1;0;2;1;1819
29535422;20193;Nachrichten von den neuesten Schicksalen des Hundes Berganza;Hoffmann_ETA_Berganza_1814;0;0;0;0;1;1;2;1;1814
29535422;20196;Kater Murr;Hoffmann_ETA_Kater-Murr_1820;0;0;0;1;0;1;2;1;1820
29535422;20199;Die Jesuitenkriche in G.;Hoffmann_ETA_Die-Jesuitenkirche-in-G_1816;0;0;0;1;1;0;2;1;1816
29535422;20200;Ignaz Denner;Hoffmann_ETA_Ignaz-Denner_1816;0;0;0;1;1;0;2;1;1816
