;sentiscore_average;sentiment_Textblob;sentiment;textfile;journal;text_id;classified
2;0;0.047619048;0.047619048;10003_1786_MR_29_2;MR;10003;positive
3;0;0.029731357;0.029731357;10012_1813_CR_07_1;CR;10012;positive
4;0;0.0491032;0.0491032;10013_1811_CR_17_1;CR;10013;positive
6;0;0.016107415;0.016107415;10029_1888_ATH_565;ATH;10029;positive
8;0;0.038327097;0.038327097;10032_1896_ATH_635;ATH;10032;positive
12;0;0.053656042;0.053656042;10035_1911_ATH_552;ATH;10035;positive
14;0;0.040922688;0.040922688;10037_1789_MR_31_2;MR;10037;positive
16;0;0.018901139;0.018901139;10039_1910_ATH_453;ATH;10039;positive
19;0;0.025307392;0.025307392;10046_1862_ATH_525;ATH;10046;positive
23;0;0.022321192;0.022321192;10051_1849_ATH_1107;ATH;10051;positive
25;0;0.044760344;0.044760344;10056_1867_ATH_514;ATH;10056;positive
26;0;0.025824366;0.025824366;10059_1811_CR_26_1;CR;10059;positive
27;0;0.069068277;0.069068277;10059_1811_MR_26_2;MR;10059;positive
29;0;0.074246429;0.074246429;10064_1911_ATH_621;ATH;10064;positive
30;0;0.041875;0.041875;10065_1796_CR_26_1;CR;10065;positive
31;0;0.017337163;0.017337163;10065_1796_MR_26_2;MR;10065;positive
33;0;0.120382353;0.120382353;10067_1778_MR_10_2;MR;10067;positive
35;0;0.066046404;0.066046404;10070_1903_ATH_683;ATH;10070;positive
39;0;0.062292557;0.062292557;10094_1871_ATH_787;ATH;10094;positive
40;0;0.041690128;0.041690128;10096_1908_ATH_350;ATH;10096;positive
42;0;0.045030892;0.045030892;10098_1899_ATH_683;ATH;10098;positive
44;0;0.016314361;0.016314361;10101_1870_ATH_45;ATH;10101;positive
45;0;0.030274181;0.030274181;10102_1863_ATH_10;ATH;10102;positive
46;0;0.049204545;0.049204545;10103_1875_ATH_258;ATH;10103;positive
48;0;0.015439527;0.015439527;10106_1895_ATH_671;ATH;10106;positive
50;0;0.038979085;0.038979085;10114_1903_ATH_558;ATH;10114;positive
52;0;0.060007573;0.060007573;10117_1856_ATH_520;ATH;10117;positive
53;0;0.042741937;0.042741937;10118_1896_ATH_510;ATH;10118;positive
56;0;0.050821008;0.050821008;10129_1846_ATH_1113;ATH;10129;positive
57;0;0.045189474;0.045189474;10130_1870_ATH_361;ATH;10130;positive
58;0;0.051184936;0.051184936;10132_1854_ATH_992;ATH;10132;positive
59;0;0.015857131;0.015857131;10133_1855_ATH_1393;ATH;10133;positive
60;0;0.017850131;0.017850131;10134_1843_ATH_209;ATH;10134;positive
62;0;0.038982676;0.038982676;10142_1845_ATH_477;ATH;10142;positive
65;0;0.038173862;0.038173862;10168_1905_ATH_397;ATH;10168;positive
67;0;0.011047129;0.011047129;10176_1891_ATH_645;ATH;10176;positive
68;0;0.037458429;0.037458429;10180_1834_ATH_113;ATH;10180;positive
69;0;0.042884465;0.042884465;10186_1814_BA_20_1;BA;10186;positive
70;0;0.027279639;0.027279639;10186_1814_CR_20_2;CR;10186;positive
72;0;0.025317605;0.025317605;10186_1814_CR_20_4;CR;10186;positive
73;0;0.042474852;0.042474852;10186_1814_MR_20_5;MR;10186;positive
74;0;0.019138724;0.019138724;10188_1809_CR_21_1;CR;10188;positive
75;0;0.025809207;0.025809207;10188_1809_CR_21_2;CR;10188;positive
76;0;0.147980023;0.147980023;10188_1809_FL_21_3;FL;10188;positive
77;0;0.043326704;0.043326704;10188_1809_MR_21_4;MR;10188;positive
78;0;0.018341747;0.018341747;10188_1809_MR_21_5;MR;10188;positive
79;0;0.095272861;0.095272861;10196_1805_CR_29_1;CR;10196;positive
80;0;0.034149948;0.034149948;10200_1859_ATH_284;ATH;10200;positive
81;0;0.023615008;0.023615008;10201_1876_ATH_14;ATH;10201;positive
83;0;0.022537023;0.022537023;10201_1876_ATH_160;ATH;10201;positive
85;0;0.030632378;0.030632378;10201_1876_ATH_461;ATH;10201;positive
89;0;0.018213016;0.018213016;10204_1871_ATH_713;ATH;10204;positive
92;0;0.048861121;0.048861121;10210_1860_ATH_467;ATH;10210;positive
94;0;0.069021739;0.069021739;10212_1795_MR_20_2;MR;10212;positive
97;0;0.013641857;0.013641857;10240_1848_ATH_1050;ATH;10240;positive
102;0;0.06710141;0.06710141;10249_1891_ATH_601;ATH;10249;positive
103;0;0.02605919;0.02605919;10250_1889_ATH_126;ATH;10250;positive
105;0;0.027986524;0.027986524;10252_1884_ATH_820;ATH;10252;positive
106;0;0.071098292;0.071098292;10253_1794_CR_23_1;CR;10253;positive
107;0;0.022267487;0.022267487;10253_1794_MR_23_2;MR;10253;positive
108;0;0.0575;0.0575;10255_1799_CR_42_1;CR;10255;positive
109;0;0.015384615;0.015384615;10255_1799_MR_42_2;MR;10255;positive
111;0;0.043357854;0.043357854;10262_1885_ATH_568;ATH;10262;positive
112;0;0.018089457;0.018089457;10265_1873_ATH_ 820;ATH;10265;positive
114;0;0.014805783;0.014805783;10267_1874_ATH_747;ATH;10267;positive
116;0;0.023734609;0.023734609;10272_1892_ATH_49;ATH;10272;positive
119;0;0.010718342;0.010718342;10279_1872_ATH_748;ATH;10279;positive
120;0;0.009490741;0.009490741;10280_1796_CR_50_1;CR;10280;positive
121;0;0.04375;0.04375;10280_1796_MR_50_2;MR;10280;positive
123;0;0.011044974;0.011044974;10290_1792_MR_38_2;MR;10290;positive
124;0;0.026178529;0.026178529;10291_1794_CR_29_1;CR;10291;positive
125;0;0.03356207;0.03356207;10291_1794_MR_29_2;MR;10291;positive
126;0;0.024481659;0.024481659;10294_1791_CR_41_1;CR;10294;positive
127;0;0.06489455;0.06489455;10294_1791_MR_41_2;MR;10294;positive
129;0;0.050894383;0.050894383;10295_1796_MR_57_2;MR;10295;positive
131;0;0.036021054;0.036021054;10297_1903_ATH_714;ATH;10297;positive
132;0;0.027075963;0.027075963;10299_1886_ATH_323;ATH;10299;positive
134;0;0.045401259;0.045401259;10315_1914_ATH_875;ATH;10315;positive
135;0;0.045401259;0.045401259;10317_1914_ATH_875;ATH;10317;positive
136;0;0.062600288;0.062600288;10321_1862_ATH_492;ATH;10321;positive
137;0;0.030179322;0.030179322;10323_1835_ATH_376;ATH;10323;positive
138;0;0.068754533;0.068754533;10344_1901_ATH_552;ATH;10344;positive
139;0;0.043294201;0.043294201;10361_1894_ATH_766;ATH;10361;positive
140;0;0.060998098;0.060998098;10367_1902_ATH_447;ATH;10367;positive
142;0;0.047455464;0.047455464;10389_1913_ATH_668;ATH;10389;positive
145;0;0.008407198;0.008407198;10401_1872_ATH_13;ATH;10401;positive
147;0;0.01544195;0.01544195;10413_1906_ATH_156;ATH;10413;positive
148;0;0.009;0.009;10415_1796_CR_63_1;CR;10415;positive
149;0;0.020652174;0.020652174;10415_1796_MR_63_2;MR;10415;positive
150;0;0.017994302;0.017994302;10416_1864_ATH_644;ATH;10416;positive
152;0;0.029556322;0.029556322;10418_1863_ATH_79;ATH;10418;positive
154;0;0.025406868;0.025406868;10421_1868_ATH_12;ATH;10421;positive
156;0;0.021196848;0.021196848;10424_1913_ATH_225;ATH;10424;positive
157;0;0.068406593;0.068406593;10425_1771_CR_46_1;CR;10425;positive
158;0;0.026785714;0.026785714;10425_1771_MR_46_2;MR;10425;positive
159;0;0.037752312;0.037752312;10432_1895_ATH_896;ATH;10432;positive
162;0;0.046431728;0.046431728;10439_1879_ATH_555;ATH;10439;positive
163;0;0.035229935;0.035229935;10441_1886_ATH_109;ATH;10441;positive
164;0;0.025839908;0.025839908;10443_1888_ATH_402;ATH;10443;positive
165;0;0.017471103;0.017471103;10444_1894_ATH_537;ATH;10444;positive
167;0;0.026999217;0.026999217;10447_1808_CR_81_1;CR;10447;positive
168;0;0.021727773;0.021727773;10447_1808_MR_81_2;MR;10447;positive
170;0;0.031628036;0.031628036;10450_1896_ATH_832;ATH;10450;positive
175;0;0.046961902;0.046961902;10456_1899_ATH_653;ATH;10456;positive
177;0;0.015224793;0.015224793;10465_1866_ATH_12;ATH;10465;positive
178;0;0.046227557;0.046227557;10466_1876_ATH_851;ATH;10466;positive
179;0;0.017815309;0.017815309;10470_1805_CR_58_1;CR;10470;positive
180;0;0.208928571;0.208928571;10470_1805_FL_58_2;FL;10470;positive
181;0;0.035143849;0.035143849;10470_1805_FL_58_3;FL;10470;positive
182;0;0.034801154;0.034801154;10470_1805_FL_58_4;FL;10470;positive
183;0;0.056730249;0.056730249;10470_1805_MR_58_5;MR;10470;positive
186;0;0.024513065;0.024513065;10471_1801_MR_56_3;MR;10471;positive
188;0;0.046090525;0.046090525;10473_1831_ATH_146;ATH;10473;positive
189;0;0.015188341;0.015188341;10474_1816_BA_49_1;BA;10474;positive
192;0;0.045150862;0.045150862;10478_1803_CR_59_1;CR;10478;positive
193;0;0.011;0.011;10478_1803_FL_59_2;FL;10478;positive
194;0;0.013298487;0.013298487;10478_1803_MR_59_3;MR;10478;positive
196;0;0.025272109;0.025272109;10483_1797_MR_70_2;MR;10483;positive
197;0;0.037314392;0.037314392;10484_1791_CR_58_1;CR;10484;positive
201;0;0.008869055;0.008869055;10486_1863_ATH_875;ATH;10486;positive
203;0;0.00921311;0.00921311;10501_1815_BA_44_1;BA;10501;positive
206;0;0.030644912;0.030644912;10505_1816_BA_53_1;BA;10505;positive
207;0;0.011204143;0.011204143;10505_1816_CR_53_2;CR;10505;positive
209;0;0.015997774;0.015997774;10511_1816_CR_52_1;CR;10511;positive
210;0;0.014216966;0.014216966;10511_1816_MR_52_2;MR;10511;positive
215;0;0.024447744;0.024447744;10523_1814_MR_54_2;MR;10523;positive
216;0;0.009273504;0.009273504;10537_1791_CR_68_1;CR;10537;positive
217;0;0.056802721;0.056802721;10537_1791_MR_68_2;MR;10537;positive
219;0;0.06363009;0.06363009;10539_1793_MR_39_2;MR;10539;positive
223;0;0.034896325;0.034896325;10547_1894_ATH_738;ATH;10547;positive
225;0;0.035970541;0.035970541;10549_1912_ATH_473;ATH;10549;positive
227;0;0.056204422;0.056204422;10556_1889_ATH_519;ATH;10556;positive
228;0;0.042107584;0.042107584;10557_1884_ATH_150;ATH;10557;positive
229;0;0.02010086;0.02010086;10558_1896_ATH_673;ATH;10558;positive
230;0;0.023369383;0.023369383;10559_1883_ATH_700;ATH;10559;positive
231;0;0.02472208;0.02472208;10560_1885_ATH_725;ATH;10560;positive
232;0;0.02126763;0.02126763;10561_1894_ATH_450;ATH;10561;positive
234;0;0.025192706;0.025192706;10569_1848_ATH_1099;ATH;10569;positive
237;0;0.017122559;0.017122559;10574_1857_ATH_689;ATH;10574;positive
238;0;0.036942802;0.036942802;10575_1865_ATH_305;ATH;10575;positive
239;0;0.037148486;0.037148486;10577_1872_ATH_527;ATH;10577;positive
240;0;0.045655581;0.045655581;10578_1855_ATH_107;ATH;10578;positive
241;0;0.063928119;0.063928119;10579_1875_ATH_851;ATH;10579;positive
