;sentiscore_average;sentiment_Textblob;sentiment;textfile;journal;text_id;classified
43;0.033812943;-0.024754902;0;20084_1788_ALZ_606;ALZ;20084;not_classified
44;-0.027470991;0.182913534;0;20085_1788_ALZ_604;ALZ;20085;not_classified
151;0;0.03902749;0.03902749;20341_1788_ALZ_291;ALZ;20341;positive
17;-0.009597567;0.047374736;0;20037_1790_ALZ_549;ALZ;20037;not_classified
217;-0.019019632;0;-0.019019632;20538_1791_ALZ_550;ALZ;20538;negative
125;0.023085828;-0.000480067;0;20256_1792_ALZ_349;ALZ;20256;not_classified
99;-0.008376955;0.018252898;0;20188_1794_ALZ_509;ALZ;20188;not_classified
147;-0.014548558;0;-0.014548558;20322_1794_ALZ_205;ALZ;20322;negative
130;0;0.060357979;0.060357979;20302_1795_ALZ_1;ALZ;20302;positive
218;0;0.029328078;0.029328078;20538_1796_ALZ_34;ALZ;20538;positive
77;-0.011742265;0.020551757;0;20132_1801_ALZ_1;ALZ;20132;not_classified
148;0;0.054845328;0.054845328;20323_1808_ALZ_375;ALZ;20323;positive
80;0;0.011328915;0.011328915;20135_1810_ALZ_1;ALZ;20135;positive
97;0;0.025273005;0.025273005;20174_1812_ALZ_501;ALZ;20174;positive
120;-0.018101952;0;-0.018101952;20246_1812_ALZ_324;ALZ;20246;negative
121;0.084260428;0;0;20247_1812_ALZ_324;ALZ;20247;not_classified
122;-0.008830039;0.1;0;20250_1812_ALZ_324;ALZ;20250;not_classified
123;0;0.017758784;0.017758784;20252_1812_ALZ_324;ALZ;20252;positive
124;-0.033080777;0.026426587;0;20254_1812_ALZ_324;ALZ;20254;not_classified
107;-0.027881955;0.042539683;0;20204_1815_ALZ_293;ALZ;20204;not_classified
108;0;0.046666667;0.046666667;20208_1815_ALZ_293;ALZ;20208;positive
109;-0.068361849;0.2;0;20208_1816_MGS_17;MGS;20208;not_classified
110;0.002358526;-0.048451028;0;20209_1817_ALZ_596;ALZ;20209;not_classified
9;-0.029951765;0.046860516;0;20018_1818_ALZ_97;ALZ;20018;not_classified
219;0.041335683;-0.002567565;0;20543_1818_ALZ_359;ALZ;20543;not_classified
49;-0.019405472;0;-0.019405472;20088_1819_ALZ_132;ALZ;20088;negative
106;0;0.041557702;0.041557702;20203_1819_MGS_217;MGS;20203;positive
101;0;0.028842435;0.028842435;20190_1820_MGS_169;MGS;20190;positive
103;0;0.038823379;0.038823379;20196_1820_MGS_45;MGS;20196;positive
102;0;0.056222062;0.056222062;20194_1821_ALZ_205;ALZ;20194;positive
79;0;0.035568838;0.035568838;20133_1822_MGS_26;MGS;20133;positive
78;-0.011955198;0;-0.011955198;20133_1822_ALZ_793;ALZ;20133;negative
104;-0.019416837;0.041344079;0;20196_1822_ALZ_105;ALZ;20196;not_classified
105;0;0.030171936;0.030171936;20201_1822_MGS_237;MGS;20201;positive
5;0;0.046649329;0.046649329;20005_1826_ALZ_65;ALZ;20005;positive
45;-0.00988671;0.074680982;0;20086_1826_BLU_97;BLU;20086;not_classified
52;-0.01482357;0.023027027;0;20092_1826_BLU_97;BLU;20092;not_classified
90;0;0.028367795;0.028367795;20163_1826_ALZ_795;ALZ;20163;positive
91;0;0.050826188;0.050826188;20163_1826_BLU_453;BLU;20163;positive
92;-0.037031683;0.037862748;0;20163_1826_MGS_401_1;MGS;20163;not_classified
93;-0.038403894;0.068084975;0;20163_1826_MGS_401_2;MGS;20163;not_classified
4;0;0.027773257;0.027773257;20004_1827_ALZ_205;ALZ;20004;positive
46;-0.007055858;-0.021158267;0;20086_1827_ALZ_327;ALZ;20086;not_classified
53;0;0.113680033;0.113680033;20092_1827_ALZ_327;ALZ;20092;positive
206;0;0.022243172;0.022243172;20484_1827_BLU_461;BLU;20484;positive
94;-0.046612194;0.044871795;0;20163_1828_ALZ_624;ALZ;20163;not_classified
220;0;0.028086793;0.028086793;20544_1828_BLU_201;BLU;20544;positive
144;-0.013837953;0.046793945;0;20320_1832_MGS_341;MGS;20320;not_classified
3;0;0.023481274;0.023481274;20003_1833_MGS_101;MGS;20003;positive
